race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Other,21,No,Female,Right,Other or not provided,US,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,2,5,2,4,4,4,3,1,4,1,4,1,5,3,3,3,2,2,4,3,4,3,4,2,3,4,31,30,40,40,33,62.0,60.0,80.0,80.0,66.0
Caucasian (European),32,No,Male,Right,Another page,HR,4,2,5,3,5,1,4,1,5,1,1,3,3,3,2,1,1,1,1,2,3,4,2,4,1,4,2,4,4,5,5,1,5,2,3,1,2,2,5,3,5,2,3,3,3,1,5,2,3,3,45,18,41,41,36,90.0,36.0,82.0,82.0,72.0
Caucasian (European),33,Yes,Female,Right,Another page,US,4,1,5,2,5,1,5,1,5,2,3,4,4,3,2,3,2,3,3,2,1,5,1,5,1,4,1,1,5,5,3,2,4,2,4,1,4,1,4,3,4,2,5,2,5,1,5,4,4,5,47,27,45,40,45,94.0,54.0,90.0,80.0,90.0
Caucasian (European),33,Yes,Male,Right,Another page,US,3,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,3,4,2,4,2,4,2,4,4,4,2,4,3,4,2,4,4,4,4,39,22,36,39,39,78.0,44.0,72.0,78.0,78.0
Caucasian (European),16,Yes,Male,Right,Another page,GB,2,2,2,3,2,2,5,3,3,5,3,3,4,1,2,4,3,3,4,5,4,3,4,4,3,4,4,3,3,2,2,2,3,4,3,3,4,4,3,3,5,2,5,2,2,1,4,3,4,3,29,36,28,29,39,58.0,72.0,56.0,58.0,78.0
Caucasian (European),21,No,Female,Right,Another page,BE,3,2,2,2,4,3,4,4,4,4,4,3,5,2,2,3,4,4,3,4,3,1,1,4,3,3,4,3,4,4,3,3,5,3,2,5,4,3,2,4,4,1,5,1,4,1,5,4,4,4,32,36,32,30,45,64.0,72.0,64.0,60.0,90.0
Caucasian (European),31,No,Female,Right,Other or not provided,NO,3,3,5,2,5,1,2,3,3,2,1,5,2,1,1,2,1,1,3,3,1,3,1,4,2,3,2,3,3,3,3,1,2,1,5,2,4,3,2,4,3,4,3,3,3,4,5,1,4,5,37,20,37,37,31,74.0,40.0,74.0,74.0,62.0
Caucasian (European),17,Yes,Male,Right,Another page,US,1,5,1,5,1,4,1,5,3,5,4,3,5,1,4,3,1,1,1,1,1,5,1,5,1,3,1,5,4,4,1,4,5,1,1,5,1,3,1,3,5,1,5,1,5,1,4,5,5,5,13,28,46,23,49,26.0,56.0,92.0,46.0,98.0
Caucasian (European),26,Yes,Female,Right,Other or not provided,GB,2,3,3,3,3,2,2,3,2,5,3,3,3,3,3,3,3,2,3,2,1,4,2,5,1,4,2,3,4,4,3,2,4,3,4,2,5,3,4,4,5,2,2,2,2,4,4,4,4,2,26,28,42,38,33,52.0,56.0,84.0,76.0,66.0
Caucasian (European),34,No,Male,Right,Another page,BE,4,2,3,2,4,1,2,3,3,3,5,4,5,1,4,4,3,3,3,5,1,5,1,5,1,5,1,5,5,5,4,5,5,3,1,4,2,2,4,5,5,1,5,1,5,1,5,5,5,5,35,39,50,31,50,70.0,78.0,100.0,62.0,100.0
Mixed Race,21,Yes,Female,Right,Another page,ZA,1,1,5,3,5,1,1,5,1,3,1,3,3,1,1,1,1,1,1,1,1,5,1,3,1,3,1,5,3,3,5,1,5,1,5,1,5,1,5,5,3,1,4,1,4,5,5,2,5,4,30,18,42,50,38,60.0,36.0,84.0,100.0,76.0
Caucasian (European),26,No,Female,Right,Google,US,5,3,5,2,3,1,5,2,4,4,1,5,1,5,5,1,2,2,5,1,4,5,1,2,4,4,2,5,4,4,4,3,4,3,4,3,3,3,4,4,4,2,4,2,4,1,5,3,4,4,40,20,37,35,41,80.0,40.0,74.0,70.0,82.0
Caucasian (European),22,No,Female,Right,Another page,NO,2,3,3,4,4,2,3,2,4,4,1,4,2,4,1,1,2,1,1,1,2,3,4,3,3,3,3,4,2,5,5,5,4,3,2,2,3,3,2,3,5,3,4,4,4,2,3,4,4,3,31,14,32,30,36,62.0,28.0,64.0,60.0,72.0
Caucasian (European),19,No,Female,Right,Another page,NO,1,4,2,2,2,3,1,3,2,5,5,2,5,1,4,4,4,4,3,5,1,4,2,5,2,5,1,3,4,3,2,2,4,3,2,3,4,2,2,2,4,3,4,1,1,2,3,3,4,3,21,43,42,30,34,42.0,86.0,84.0,60.0,68.0
Caucasian (European),19,No,Male,Right,Another page,FI,4,4,2,4,2,4,2,5,1,4,2,4,2,3,3,3,4,3,4,3,3,4,5,4,3,3,3,4,3,3,3,3,3,5,1,4,1,3,2,2,4,2,4,2,3,2,4,4,4,3,20,29,31,21,38,40.0,58.0,62.0,42.0,76.0
Mixed Race,21,Yes,Female,Right,Another page,US,4,1,5,1,5,1,5,5,3,5,3,4,3,3,2,4,4,2,4,2,2,5,3,5,1,3,1,5,5,4,3,5,4,4,1,4,3,2,3,4,4,1,5,1,5,1,5,4,5,5,39,29,44,27,48,78.0,58.0,88.0,54.0,96.0
Caucasian (European),49,No,Male,Right,Another page,BE,3,1,5,3,4,1,4,2,4,2,3,5,3,1,2,1,1,1,1,1,1,5,1,4,1,3,1,5,4,5,4,3,5,1,5,1,4,3,5,5,5,1,4,1,4,1,4,2,5,5,41,19,46,44,44,82.0,38.0,92.0,88.0,88.0
Caucasian (European),18,Yes,Female,Right,Another page,US,3,3,4,4,5,2,5,4,3,4,4,3,4,2,2,3,3,2,2,3,2,5,2,5,2,5,2,5,5,5,4,2,5,2,4,3,4,2,4,4,3,1,5,1,5,1,5,3,5,5,33,30,46,40,46,66.0,60.0,92.0,80.0,92.0
Caucasian (European),32,Yes,Female,Right,.edu domain site,US,1,3,2,4,1,1,1,4,3,4,4,3,4,3,4,4,4,4,4,2,3,3,2,4,1,5,1,4,4,3,4,3,3,4,1,4,1,2,4,2,2,3,3,3,4,4,4,2,3,2,22,36,40,26,28,44.0,72.0,80.0,52.0,56.0
Caucasian (European),60,Yes,Female,Right,Another page,US,1,4,5,3,5,3,3,5,1,4,4,3,4,1,5,4,2,2,4,2,1,5,1,5,1,4,1,5,5,5,2,4,5,4,1,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5,26,35,49,37,50,52.0,70.0,98.0,74.0,100.0
Caucasian (European),22,Yes,Female,Right,Another page,IE,1,3,2,4,3,2,1,4,2,4,5,2,5,1,4,5,4,4,3,4,1,4,4,4,1,5,2,4,5,5,2,4,4,3,1,5,3,3,2,3,5,3,5,3,3,1,5,5,4,3,22,43,43,24,41,44.0,86.0,86.0,48.0,82.0
Caucasian (European),24,Yes,Male,Right,Another page,PL,1,5,1,5,2,5,1,5,1,5,2,5,2,3,2,2,2,3,1,3,1,2,1,1,1,2,5,3,1,3,4,1,4,1,2,2,5,3,4,4,4,1,3,4,3,1,5,4,2,4,11,21,28,40,37,22.0,42.0,56.0,80.0,74.0
"Caucasian (North African, Other)",16,No,Female,Left,Another page,BR,2,2,3,3,3,1,2,2,2,5,3,4,4,4,1,2,2,2,2,2,1,5,2,5,3,5,1,4,3,3,3,2,3,4,2,4,5,3,4,5,4,1,4,1,4,1,4,2,5,5,29,22,42,33,43,58.0,44.0,84.0,66.0,86.0
Caucasian (European),20,No,Male,Right,Another page,SK,2,4,2,3,3,2,2,4,4,4,4,3,4,2,3,3,4,4,3,3,3,3,3,2,4,3,3,3,4,3,3,3,3,3,2,4,2,4,2,4,4,1,4,1,4,1,4,3,4,4,26,35,29,26,42,52.0,70.0,58.0,52.0,84.0
Mixed Race,47,Yes,Female,Right,Google,US,3,2,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,1,4,1,4,2,4,2,3,4,4,2,2,3,2,3,2,3,2,3,3,3,2,4,2,5,1,4,2,3,4,30,23,41,33,38,60.0,46.0,82.0,66.0,76.0
Caucasian (European),15,Yes,Female,Right,Another page,US,2,1,2,2,3,2,2,5,2,4,5,4,4,2,5,2,4,4,5,3,2,3,5,3,2,3,2,3,3,3,4,5,4,4,1,4,2,4,4,3,3,2,3,3,2,3,5,4,4,3,27,38,31,25,34,54.0,76.0,62.0,50.0,68.0
Other,17,Yes,Female,Right,Another page,US,1,3,3,5,3,5,1,5,1,5,4,5,5,1,2,3,5,4,4,4,4,2,1,2,4,4,3,2,2,3,3,5,4,1,1,1,3,3,1,2,1,1,3,5,1,5,3,1,5,1,16,37,27,28,22,32.0,74.0,54.0,56.0,44.0
Other,13,Yes,Female,Both,Another page,US,5,1,5,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,1,5,46,18,46,46,46,92.0,36.0,92.0,92.0,92.0
Caucasian (European),16,No,Female,Right,Another page,HR,4,4,1,5,2,4,1,5,4,5,5,1,5,4,4,2,4,3,5,4,2,5,2,2,4,5,2,4,2,3,5,4,2,3,1,5,5,3,4,5,4,2,5,3,4,2,5,2,5,3,19,39,35,31,39,38.0,78.0,70.0,62.0,78.0
Caucasian (Middle East),23,No,Female,Right,Another page,SA,1,4,2,2,4,4,4,5,1,5,3,5,2,3,2,2,5,4,2,3,2,3,1,2,3,3,2,3,2,4,4,1,2,4,3,3,1,3,1,4,2,4,3,3,4,2,3,3,5,3,22,27,33,28,32,44.0,54.0,66.0,56.0,64.0
Caucasian (European),30,Yes,Female,Right,Another page,US,5,2,5,1,5,1,5,1,5,2,3,4,3,4,1,1,3,2,2,1,1,5,1,5,1,5,1,5,5,5,4,4,3,4,3,5,2,1,3,2,3,2,4,1,5,1,4,3,4,5,48,20,50,27,42,96.0,40.0,100.0,54.0,84.0
Caucasian (European),17,Yes,Female,Right,Another page,US,3,1,4,1,5,1,3,1,5,2,4,2,5,2,2,2,4,2,5,2,2,5,5,4,1,5,2,5,4,4,1,5,4,4,1,5,3,4,4,4,3,2,5,1,5,1,4,2,5,5,44,34,41,23,43,88.0,68.0,82.0,46.0,86.0
"Caucasian (North African, Other)",20,Yes,Female,Right,Google,US,2,3,3,4,3,3,2,4,2,4,4,3,4,3,2,3,3,3,4,3,1,4,2,4,1,4,2,4,5,4,4,2,3,3,3,3,3,2,4,3,3,2,4,2,3,2,3,2,4,3,24,32,43,34,34,48.0,64.0,86.0,68.0,68.0
Caucasian (European),25,Yes,Male,Right,Another page,US,2,2,2,4,4,2,1,2,4,5,4,3,5,2,1,4,2,4,4,4,2,4,2,4,2,2,2,2,4,2,4,2,4,4,1,2,4,2,4,3,5,1,5,1,4,1,4,5,5,4,28,35,34,34,47,56.0,70.0,68.0,68.0,94.0
Caucasian (European),27,No,Male,Right,Another page,BR,4,1,4,1,4,1,4,1,5,1,4,2,3,4,4,3,4,4,4,2,4,3,3,2,4,2,4,1,4,4,4,3,4,3,3,3,3,3,2,4,5,1,5,1,5,1,4,5,4,5,46,34,25,32,48,92.0,68.0,50.0,64.0,96.0
Caucasian (European),25,Yes,Female,Right,Another page,US,1,4,2,5,2,4,1,5,2,4,4,3,4,1,3,2,3,2,2,4,2,4,1,4,3,2,2,4,3,3,5,1,5,1,5,1,5,1,5,5,5,2,4,2,4,2,4,4,5,3,16,32,36,50,41,32.0,64.0,72.0,100.0,82.0
Caucasian (European),21,Yes,Female,Right,Google,US,3,2,3,2,4,3,2,4,2,4,4,2,4,4,2,3,2,2,3,2,1,5,1,5,1,5,1,5,5,3,4,4,4,2,4,2,4,1,4,3,3,3,4,4,2,3,4,2,3,2,29,28,48,38,28,58.0,56.0,96.0,76.0,56.0
Caucasian (European),59,Yes,Male,Right,Another page,IE,1,4,4,2,4,2,3,2,4,2,1,4,2,5,2,2,1,1,3,1,1,4,1,4,1,5,1,4,4,3,3,1,2,1,3,2,3,3,4,4,5,3,5,1,5,1,3,5,4,5,34,16,44,36,45,68.0,32.0,88.0,72.0,90.0
Caucasian (European),30,Yes,Female,Right,Google,US,4,2,5,2,4,1,4,1,4,2,2,3,2,5,2,2,1,2,1,1,2,5,1,4,1,3,1,4,3,4,4,2,5,1,4,1,3,1,3,4,5,1,5,1,5,1,5,5,4,5,43,17,42,42,49,86.0,34.0,84.0,84.0,98.0
Caucasian (European),37,Yes,Female,Right,Another page,US,5,1,5,1,5,1,3,4,5,1,1,1,3,4,5,5,5,4,5,1,3,3,3,2,5,1,5,2,2,5,1,4,1,4,2,5,2,1,3,5,4,4,1,4,5,5,5,4,5,5,45,36,23,24,34,90.0,72.0,46.0,48.0,68.0
South East Asian,27,No,Female,Right,Another page,NZ,2,4,3,4,3,4,2,3,2,3,5,3,5,2,2,3,4,4,4,5,2,4,2,4,2,4,2,5,4,4,3,4,3,4,3,2,3,2,3,4,4,2,4,2,3,1,3,3,4,4,24,39,41,31,38,48.0,78.0,82.0,62.0,76.0
"Caucasian (North African, Other)",41,Yes,Female,Left,Google,US,2,3,3,4,2,3,2,5,1,5,4,2,4,3,2,4,4,4,4,2,1,4,2,4,2,4,3,4,4,3,5,1,5,1,3,1,5,1,5,5,3,3,3,4,4,3,4,3,4,3,20,35,39,48,32,40.0,70.0,78.0,96.0,64.0
Caucasian (European),18,Yes,Male,Right,Another page,GB,4,2,5,2,3,3,4,2,5,4,3,4,3,2,5,1,3,1,4,2,4,3,5,2,4,2,3,3,3,5,3,4,4,3,2,4,2,3,2,3,3,2,5,2,3,1,4,4,4,5,38,28,26,26,41,76.0,56.0,52.0,52.0,82.0
Caucasian (European),21,Yes,Female,Right,Another page,US,3,2,3,2,4,2,4,2,4,3,5,2,5,2,3,4,4,4,4,2,2,4,3,5,2,4,2,4,4,4,2,4,4,5,2,4,3,3,2,3,3,2,4,2,4,2,3,4,4,4,37,39,40,24,38,74.0,78.0,80.0,48.0,76.0
"Caucasian (North African, Other)",15,Yes,Female,Right,Another page,US,5,3,5,4,3,2,3,5,1,1,3,5,5,2,3,1,3,2,3,1,1,3,1,5,1,5,2,5,5,5,4,4,5,2,3,1,5,3,5,5,4,1,4,2,4,1,5,4,3,4,32,26,47,41,42,64.0,52.0,94.0,82.0,84.0
Caucasian (European),18,No,Female,Right,Another page,BR,2,1,1,4,4,1,1,3,4,5,5,1,4,4,4,4,5,5,5,4,3,2,3,3,3,3,3,2,4,3,3,5,4,3,3,3,3,2,3,4,5,1,5,2,5,2,4,5,5,5,28,43,29,31,47,56.0,86.0,58.0,62.0,94.0
Caucasian (European),20,Yes,Male,Left,Another page,GB,4,1,5,2,5,1,4,3,3,2,1,4,4,3,4,1,2,1,2,2,2,5,3,5,3,3,1,4,4,4,3,2,4,4,3,2,3,2,2,3,4,2,4,2,5,1,4,4,5,4,42,22,40,32,43,84.0,44.0,80.0,64.0,86.0
Other,35,Yes,Male,Right,Another page,US,5,1,5,1,5,1,5,4,4,1,1,5,5,5,3,1,1,1,2,1,1,5,1,5,1,4,1,5,5,5,4,3,4,2,3,1,5,1,5,5,4,2,5,1,5,1,5,4,5,5,46,17,49,43,47,92.0,34.0,98.0,86.0,94.0
Caucasian (European),24,Yes,Female,Right,Another page,GB,2,2,2,4,3,2,3,4,1,3,4,2,4,2,2,3,3,3,4,4,2,3,3,3,3,3,3,2,3,2,1,4,3,4,1,4,2,4,1,3,4,2,4,3,3,1,3,3,4,3,26,35,29,19,36,52.0,70.0,58.0,38.0,72.0
Caucasian (European),33,Yes,Female,Right,Another page,US,5,1,4,1,5,2,5,4,4,2,5,2,4,3,4,4,5,4,4,4,1,5,1,5,1,4,1,4,4,2,1,3,3,3,4,2,5,1,4,2,5,1,3,1,4,2,4,4,5,4,43,41,44,34,43,86.0,82.0,88.0,68.0,86.0
Mixed Race,20,No,Female,Right,Another page,PH,3,5,2,5,2,1,1,5,2,5,3,3,4,3,2,2,3,2,3,3,2,3,3,3,2,3,2,4,2,2,3,3,4,2,2,2,4,2,4,3,3,1,4,2,3,2,3,2,4,3,19,28,32,35,35,38.0,56.0,64.0,70.0,70.0
Caucasian (European),59,Yes,Female,Right,Another page,US,1,2,4,4,4,2,3,5,3,3,2,4,1,4,2,2,3,1,2,1,1,4,3,4,2,5,2,5,4,4,4,2,4,1,4,2,4,1,2,4,4,3,3,2,4,3,4,4,4,3,29,18,42,40,36,58.0,36.0,84.0,80.0,72.0
Caucasian (European),19,Yes,Female,Left,Another page,CA,5,2,5,1,5,1,3,1,5,1,4,3,5,2,2,2,2,2,5,1,1,3,2,3,3,4,2,5,4,4,2,4,4,4,2,2,3,3,3,3,5,2,5,3,3,1,3,4,5,4,47,30,39,28,41,94.0,60.0,78.0,56.0,82.0
Other,26,No,Male,Right,Another page,BR,2,2,2,2,2,2,2,2,4,4,3,3,4,2,3,4,4,4,4,2,3,3,4,3,3,2,3,3,4,2,4,4,4,3,4,4,3,2,4,4,5,2,5,1,5,1,4,3,5,5,30,35,28,34,46,60.0,70.0,56.0,68.0,92.0
Caucasian (European),24,No,Female,Right,Another page,CA,3,1,4,3,4,1,2,3,1,5,3,5,3,1,1,2,1,1,4,1,1,3,2,5,4,5,2,5,5,5,5,5,5,1,3,4,4,3,5,5,2,4,5,3,5,1,5,1,5,4,31,22,43,38,37,62.0,44.0,86.0,76.0,74.0
Caucasian (European),31,Yes,Female,Right,Google,US,5,1,5,1,5,1,5,1,5,1,4,3,4,2,5,4,4,4,4,4,2,5,3,5,1,5,1,4,4,5,3,5,3,3,1,5,3,1,3,3,3,2,5,2,3,1,5,3,2,5,50,40,45,26,39,100.0,80.0,90.0,52.0,78.0
Caucasian (European),30,Yes,Female,Right,Another page,US,1,2,3,4,3,1,1,4,4,3,4,2,5,1,5,2,3,1,2,2,1,5,3,5,1,5,1,4,5,5,2,4,3,5,1,5,2,4,1,1,5,1,5,1,4,1,4,1,5,5,28,33,47,16,44,56.0,66.0,94.0,32.0,88.0
Caucasian (Middle East),18,Yes,Female,Right,Another page,US,1,2,2,5,2,1,1,5,2,5,4,3,5,1,1,4,4,2,5,5,4,3,5,2,3,1,5,3,2,2,4,2,5,3,2,1,5,3,3,4,2,2,4,1,1,2,3,2,5,3,20,38,20,38,33,40.0,76.0,40.0,76.0,66.0
Other,24,Yes,Female,Right,Other or not provided,US,3,1,4,3,3,1,2,4,3,5,4,4,5,2,3,3,3,1,4,2,1,4,1,4,2,4,1,5,4,5,5,1,5,1,4,1,5,2,5,5,4,1,5,1,5,1,4,4,4,4,31,31,45,48,45,62.0,62.0,90.0,96.0,90.0
Other,13,,Female,Right,Another page,US,4,2,5,2,4,1,5,3,3,2,2,4,3,3,3,2,3,4,2,1,1,5,1,5,1,4,1,4,5,4,4,1,5,2,5,3,5,1,4,5,5,1,5,1,5,1,5,5,5,5,41,25,47,45,50,82.0,50.0,94.0,90.0,100.0
Caucasian (European),19,Yes,Female,Right,Another page,US,3,2,5,2,5,2,4,3,4,2,3,4,3,3,2,1,2,2,2,3,1,5,2,5,1,4,2,5,5,4,3,5,2,4,2,4,2,2,2,2,4,2,3,2,3,3,4,3,3,4,40,23,46,22,35,80.0,46.0,92.0,44.0,70.0
South East Asian,20,Yes,Female,Right,Google,US,2,3,2,4,2,4,4,3,2,5,5,1,5,1,4,3,5,4,2,4,4,2,4,2,4,4,2,2,1,4,4,2,4,4,2,2,3,2,2,4,4,3,4,1,4,2,4,4,4,4,23,42,25,33,40,46.0,84.0,50.0,66.0,80.0
South East Asian,13,Yes,Female,Right,Another page,US,3,1,4,2,4,1,4,4,4,2,2,2,5,4,4,4,3,4,4,2,1,4,1,5,2,4,2,4,5,2,4,2,4,4,5,2,4,2,4,5,4,2,4,2,5,2,4,4,4,4,39,34,42,40,41,78.0,68.0,84.0,80.0,82.0
Other,16,Yes,Female,Right,Google,US,4,1,3,2,5,1,5,2,3,4,4,4,2,3,3,3,5,5,3,4,3,2,1,3,5,2,3,4,1,3,1,4,2,1,3,5,3,3,1,3,2,3,4,3,4,1,3,3,5,5,40,34,27,24,37,80.0,68.0,54.0,48.0,74.0
Caucasian (European),17,Yes,Female,Right,Another page,AU,1,1,5,4,5,1,1,4,1,2,1,5,4,2,1,3,2,1,1,2,1,5,1,5,1,5,1,5,5,5,2,4,5,1,2,4,2,2,1,5,5,1,5,1,5,1,5,4,5,1,31,20,50,30,45,62.0,40.0,100.0,60.0,90.0
Caucasian (European),27,Yes,Female,Right,Another page,US,3,1,5,1,5,2,5,2,4,2,3,4,2,1,1,3,2,2,2,3,3,5,3,4,1,4,2,4,4,4,2,2,2,2,2,2,2,3,3,2,4,1,4,3,4,2,4,4,2,3,44,25,40,28,37,88.0,50.0,80.0,56.0,74.0
Caucasian (European),20,Yes,Female,Right,Other or not provided,US,1,3,4,2,4,2,2,3,2,4,4,4,4,1,1,2,3,2,2,4,1,4,2,4,1,4,2,3,4,4,2,3,3,2,5,2,4,2,4,4,5,2,5,2,3,1,4,5,5,4,29,29,41,37,44,58.0,58.0,82.0,74.0,88.0
North East Asian,44,No,Female,Right,Another page,JP,2,1,3,3,4,2,4,2,4,4,4,2,2,5,4,4,2,2,2,1,2,4,1,5,2,3,2,3,4,4,2,2,2,2,2,5,1,2,4,5,4,3,3,1,3,2,4,4,2,3,35,26,40,29,35,70.0,52.0,80.0,58.0,70.0
Caucasian (European),21,Yes,Female,Right,Another page,CA,4,1,4,2,4,1,5,2,5,2,4,3,4,2,3,4,4,4,4,3,2,4,2,4,1,5,1,4,4,4,3,4,2,3,2,4,3,3,2,3,4,3,3,4,3,3,3,3,2,2,44,37,43,25,28,88.0,74.0,86.0,50.0,56.0
Caucasian (European),21,Yes,Female,Right,Google,CA,3,2,4,2,5,2,4,4,2,2,3,4,4,3,2,4,2,2,3,2,2,5,1,4,1,3,1,4,5,4,5,3,4,2,4,3,5,2,4,5,5,2,3,1,4,2,5,4,4,4,36,27,44,41,42,72.0,54.0,88.0,82.0,84.0
Caucasian (Indian),23,No,Male,Right,Another page,IN,2,4,4,4,3,4,1,2,4,4,3,4,4,4,2,2,2,2,1,2,4,5,1,3,2,5,2,5,4,4,4,5,2,2,2,4,4,1,4,2,2,2,2,1,4,2,4,1,4,4,26,22,41,30,34,52.0,44.0,82.0,60.0,68.0
Other,24,Yes,Female,Right,Another page,US,1,2,1,5,3,5,1,5,1,5,5,3,5,1,5,5,4,3,5,5,4,2,4,4,5,3,5,3,5,5,4,1,5,4,5,1,4,1,4,4,4,5,5,5,4,1,4,5,5,5,15,45,28,43,39,30.0,90.0,56.0,86.0,78.0
Mixed Race,39,Yes,Male,Right,Another page,CA,2,4,2,4,4,2,4,5,3,3,2,3,4,1,4,2,3,2,3,4,2,4,1,4,2,4,2,2,3,4,3,2,2,2,2,2,4,1,3,2,4,1,4,1,4,1,4,1,5,4,27,32,38,33,41,54.0,64.0,76.0,66.0,82.0
Caucasian (European),45,Yes,Female,Right,Google,US,1,4,2,4,2,2,1,5,1,5,4,3,4,2,3,3,3,3,1,4,1,5,1,4,2,5,1,5,3,2,4,5,5,4,4,5,3,1,3,4,5,1,3,3,5,1,5,5,4,4,17,32,43,32,44,34.0,64.0,86.0,64.0,88.0
Caucasian (European),45,Yes,Female,Left,Other or not provided,US,3,1,5,1,5,1,5,2,4,1,3,4,3,4,2,3,2,2,4,1,1,5,2,5,1,5,1,5,4,4,3,5,3,1,1,4,2,3,1,2,4,1,3,2,3,2,4,3,5,3,46,24,47,23,38,92.0,48.0,94.0,46.0,76.0
Mixed Race,20,Yes,Male,Right,Another page,US,3,2,5,2,5,1,5,2,5,1,2,3,4,2,1,1,1,1,1,2,1,5,1,5,1,4,1,5,5,5,3,3,5,1,3,4,4,1,4,5,5,1,5,1,5,1,4,5,5,5,45,20,49,39,49,90.0,40.0,98.0,78.0,98.0
Other,21,Yes,Female,Right,Another page,US,2,4,2,5,3,3,3,3,3,3,5,2,5,1,4,4,4,4,5,4,2,3,3,4,3,3,3,3,3,3,3,5,4,5,3,3,5,2,5,3,3,3,5,3,3,3,3,3,3,4,25,44,32,32,33,50.0,88.0,64.0,64.0,66.0
Mixed Race,23,No,Female,Right,Google,ID,2,1,3,4,2,2,3,2,2,2,3,3,3,3,4,2,4,4,3,2,2,4,2,4,2,5,2,5,4,4,5,2,4,2,4,3,4,2,5,3,4,3,5,3,4,1,4,1,4,4,31,31,42,40,37,62.0,62.0,84.0,80.0,74.0
North East Asian,23,No,Female,Right,Another page,PH,2,2,5,1,4,2,4,1,4,1,4,2,5,4,1,4,2,2,4,1,1,5,1,5,1,5,1,1,5,5,5,4,4,1,4,1,5,2,5,4,4,1,5,1,5,1,5,4,5,5,42,29,46,43,48,84.0,58.0,92.0,86.0,96.0
Caucasian (European),22,Yes,Female,Right,Another page,US,1,5,3,5,1,5,1,5,1,5,5,3,5,2,3,5,4,2,3,2,1,2,1,5,2,5,3,5,4,3,1,5,4,5,2,5,3,3,1,2,3,3,5,1,4,1,3,1,5,4,12,36,41,19,38,24.0,72.0,82.0,38.0,76.0
Caucasian (European),16,Yes,Female,Right,Another page,US,4,2,5,2,5,2,5,3,5,3,4,5,4,2,4,4,4,3,3,3,1,5,3,4,3,4,1,5,5,5,3,3,4,3,4,3,3,3,4,3,5,1,4,1,5,1,5,5,4,5,42,34,44,33,48,84.0,68.0,88.0,66.0,96.0
Caucasian (European),20,Yes,Male,Right,Other or not provided,AU,4,1,5,2,5,1,2,2,4,4,3,4,2,2,2,1,3,2,3,4,1,4,4,5,2,4,1,4,5,5,2,5,2,4,1,4,2,2,1,2,5,1,5,3,3,1,4,5,5,5,40,26,43,19,45,80.0,52.0,86.0,38.0,90.0
Mixed Race,33,No,Female,Right,Another page,IN,2,4,4,4,4,2,4,4,2,4,1,4,2,4,2,2,2,2,2,2,5,4,1,5,2,4,2,4,4,5,4,2,4,1,4,2,4,2,4,4,4,1,2,1,4,2,4,3,4,4,28,19,40,41,39,56.0,38.0,80.0,82.0,78.0
Other,17,Yes,Female,Right,Another page,AU,4,2,3,3,4,3,3,4,3,4,4,4,4,2,5,2,5,4,3,4,1,5,1,4,1,4,2,4,4,4,2,5,5,4,1,5,1,3,2,3,3,4,5,1,3,2,2,4,5,4,31,37,44,21,37,62.0,74.0,88.0,42.0,74.0
South East Asian,17,Yes,,Right,Another page,CA,1,3,3,3,2,3,1,4,3,4,3,3,4,2,2,3,3,2,4,2,1,4,4,3,2,3,2,3,3,3,3,3,4,2,1,4,4,3,4,4,4,2,5,1,4,1,4,4,3,5,23,30,34,32,43,46.0,60.0,68.0,64.0,86.0
Caucasian (European),20,Yes,Female,Right,Other or not provided,US,2,2,4,3,4,2,2,4,2,2,5,2,5,1,4,5,5,4,5,4,1,5,3,5,1,5,1,5,4,4,4,4,4,3,3,3,4,2,4,4,3,2,4,1,3,2,4,3,5,4,31,46,46,35,39,62.0,92.0,92.0,70.0,78.0
Mixed Race,59,Yes,Female,Right,Another page,US,1,5,3,5,1,5,1,1,1,5,1,5,1,5,1,1,1,1,1,1,4,4,1,3,4,4,2,4,2,4,1,4,2,1,2,2,3,2,1,2,4,3,5,3,4,1,3,2,4,4,16,10,34,26,37,32.0,20.0,68.0,52.0,74.0
Caucasian (European),25,Yes,Male,Right,Google,CA,5,1,4,3,5,1,4,4,4,3,1,5,3,5,2,2,2,1,2,2,1,5,1,5,1,5,1,5,5,5,4,5,4,4,4,3,4,1,5,4,4,1,5,2,5,1,5,4,4,5,40,17,50,36,46,80.0,34.0,100.0,72.0,92.0
